 yn ,80943
 mae,46276
mae ,44257
edd ,26040
oedd,22837
 ar ,20971
aeth,20530
d yn,19272
 ei ,19060
dd y,18756
odd ,18374
yn y,17149
eth ,15195
ydd ,14300
dau ,13606
d y ,13363
wydd,13024
ae r,12735
n yn,12645
 yr ,12470
edi ,12027
 wed,11719
roed,11675
e r ,11611
 mew,11338
mewn,11337
ewn ,11328
wedi,11072
 gan,11054
yn c,11042
 roe,10476
iad ,10329
n y ,10301
iau ,9950
 cyn,9915
eith,9848
yn d,9806
yn g,9562
wyd ,9503
 cyf,8939
nydd,8935
yddi,8906
 hyn,8696
efyd,8661
yn a,8646
 gyf,8513
o r ,8195
l yn,8074
 rha,8009
 ddi,7945
 ac ,7836
 fel,7764
i r ,7734
gan ,7642
ael ,7486
 gwe,7341
fel ,7314
 o r,7270
ion ,7049
 hef,6976
adau,6969
n cy,6890
hefy,6883
r y ,6810
 gyd,6694
ae n,6673
 eu ,6656
yd y,6616
dd a,6581
 yw ,6565
 oed,6490
ddio,6408
nol ,6374
 y c,6324
n gw,6307
 i r,6275
iaet,6251
e n ,6201
iada,6184
au a,6182
 y d,6160
od y,6133
wyr ,6015
dol ,6005
dyn ,5954
fer ,5951
 y g,5889
r yn,5868
yr a,5822
d i ,5775
yn e,5746
dio ,5742
 gwa,5732
 am ,5720
ol y,5702
fyd ,5694
fodd,5691
th y,5646
 chw,5582
ddia,5553
gyda,5511
n ca,5508
 cae,5477
diad,5416
wedd,5402
yddo,5349
aith,5344
 fod,5333
dd e,5321
n dd,5289
n gy,5246
hyn ,5228
 un ,5220
 lla,5198
hau ,5159
yda ,5115
ar y,5097
ith ,5092
aid ,5074
 dda,5073
aidd,5068
nau ,4977
d ei,4941
el e,4915
n o ,4914
i dd,4914
weit,4892
 i g,4887
ithi,4885
 dyn,4853
r o ,4831
h yn,4806
cael,4782
n ar,4757
d ar,4719
 r c,4704
ar g,4678
wrth,4645
i n ,4620
bod ,4620
n rh,4584
ant ,4501
efny,4498
fnyd,4495
defn,4483
r gy,4439
d o ,4422
n ei,4400
 r d,4369
y n ,4357
 r g,4347
chwa,4333
 rhy,4330
yn b,4323
ol a,4322
u yn,4250
ach ,4236
rth ,4225
 bod,4199
 gal,4181
 dde,4160
n i ,4147
yn f,4145
fod ,4123
rwyd,4120
idd ,4096
r ar,4041
cynn,4035
 y b,4024
yn s,4003
a r ,3970
n ll,3942
niad,3936
dd g,3932
a ch,3927
 gwy,3925
ddol,3911
an y,3890
ae g,3884
ddo ,3864
 lle,3851
 i d,3847
 gyn,3845
afod,3840
nid ,3836
wys ,3825
u r ,3813
 ni ,3813
dd h,3801
 byd,3786
 rhe,3781
au c,3775
l ei,3753
au y,3752
 y t,3737
ynna,3721
 sy ,3688
ffor,3661
anol,3615
 hwn,3609
 nid,3596
rhai,3573
sy n,3557
l ar,3549
rdd ,3532
d yr,3531
rau ,3521
 can,3520
ond ,3505
 o b,3504
 o d,3488
l y ,3486
llaw,3468
 y p,3467
n yr,3447
 o g,3444
 ond,3437
bydd,3436
 lly,3419
 fe ,3419
s yn,3417
u n ,3398
 n g,3398
yn r,3390
er o,3381
 ysg,3373
c yn,3365
all ,3358
gall,3356
n am,3355
 gor,3355
edig,3347
nnwy,3332
gol ,3314
lwyd,3311
 cym,3302
 i w,3265
rwy ,3258
etha,3249
 bob,3242
yn h,3231
gyfe,3227
dig ,3227
ddi ,3221
 r a,3219
awr ,3212
au g,3206
dd b,3201
 n c,3200
 o f,3199
ynnw,3196
hwar,3191
i gy,3184
 wrt,3183
ddau,3183
d a ,3177
 def,3176
th a,3158
gwei,3146
r cy,3140
 i f,3138
 a c,3138
dim ,3131
ysgo,3130
 yst,3118
 mwy,3111
u cy,3099
wara,3095
on y,3091
 new,3089
i i ,3081
ddiw,3078
 neu,3070
liad,3063
thau,3055
nnau,3054
n da,3046
yn n,3043
l i ,3038
ae d,3037
ch y,3035
ei d,3034
 caf,3032
neu ,3030
ddyn,3019
arae,3019
 n d,3018
u ar,3009
yfer,3004
 nhw,2970
rhyw,2959
nwys,2959
 y s,2954
thio,2944
io a,2944
ac y,2940
eud ,2938
u a ,2908
dd c,2895
d cy,2895
yr y,2894
n a ,2887
naet,2884
 dro,2874
 a d,2864
n ga,2858
ad y,2856
ei g,2854
ddwy,2852
 ôl ,2843
w r ,2840
edda,2835
ain ,2835
etho,2834
ynny,2830
 y f,2825
wch ,2808
ydd,2799
au d,2796
 pen,2795
wait,2785
rhan,2781
g yn,2777
d we,2766
au r,2766
dd d,2763
cafo,2758
gwyd,2742
 ben,2735
thia,2729
r un,2728
alla,2727
y cy,2725
ae h,2710
 ddy,2706
id y,2703
 hi ,2701
erdd,2696
erth,2678
daet,2674
